,b1,b2,b3,b4,b5,b6,b7,b8,b9,b10,b11,b12,b14,b15,name,time
24,4,0,1,0,1,0,2,0,0,0,7,0,862569194,15000,104-2007-05-02_10.33.14.rdf,2007-04-01_10.33.14
25,4,0,1,0,1,0,2,0,0,0,7,0,863690368,15000,105-2007-05-15_09.59.28.rdf,2007-04-14_09.59.28
26,4,0,1,0,1,0,2,0,0,0,7,0,933498979,15000,105-2009-07-31_09.16.19.rdf,2009-06-30_09.16.19
27,4,0,1,0,1,0,2,0,0,0,7,0,936526710,15000,105-2009-09-04_10.18.30.rdf,2009-08-04_10.18.30
28,4,0,1,0,1,0,2,0,0,0,7,0,941920818,15000,108-2009-11-05_20.40.18.rdf,2009-10-05_20.40.18
29,4,0,1,0,1,0,2,0,0,0,7,0,941920968,15000,108-2009-11-05_20.42.48.rdf,2009-10-05_20.42.48
30,4,0,1,0,1,0,2,0,0,0,7,0,942236948,15000,108-2009-11-09_12.29.08.rdf,2009-10-09_12.29.08
31,4,0,1,0,1,0,2,0,0,0,7,0,942237708,15000,108-2009-11-09_12.41.48.rdf,2009-10-09_12.41.48
32,4,0,1,0,1,0,2,0,0,0,7,0,1188567842,15000,108-2017-08-30_13.44.02.rdf,2017-07-30_13.44.02
33,4,0,1,0,1,0,2,0,0,0,7,0,1206178984,15000,108-2018-03-22_09.43.04.rdf,2018-02-19_09.43.04
34,4,0,1,0,1,0,2,0,0,0,7,0,1206179082,15000,108-2018-03-22_09.44.42.rdf,2018-02-19_09.44.42
35,15339,15000,897,899,889,893,1006,1005,126,83,12279,20859,59179903,886,11-09_Ноябрь_2011г_14.19.37.rdf,1981-10-15_22.51.43
36,15339,15000,909,893,904,883,1005,1005,380,332,12279,20859,58721161,897,11-09_Ноябрь_2011г_14.25.48.rdf,1981-10-10_15.26.01
37,4,0,1,0,2,0,2,0,2,0,6,0,993457243,15000,11-2011-06-25_08.20.43.rdf,2011-05-25_08.20.43
38,4,0,1,0,2,0,2,0,2,0,6,0,995602114,15000,11-2011-07-20_04.08.34.rdf,2011-06-19_04.08.34
39,4,0,1,0,2,0,2,0,2,0,6,0,995967465,15000,11-2011-07-24_09.37.45.rdf,2011-06-23_09.37.45
40,4,0,1,0,2,0,2,0,2,0,6,0,1025880199,15000,11-2012-07-04_14.43.19.rdf,2012-06-03_14.43.19
41,4,0,1,0,2,0,2,0,2,0,6,0,1032848130,15000,11-2012-09-23_06.15.30.rdf,2012-08-23_06.15.30
42,4,0,1,0,2,0,2,0,2,0,6,0,1035614775,15000,11-2012-10-25_06.46.15.rdf,2012-09-24_06.46.15
43,4608,-27703,6446,-27418,16317,32322,-361,7437,-17768,31100,-27713,255,4160815014,-4929,110-2010-01-16_11.42.23.rdf,2111-10-07_13.56.54
44,-26777,15374,-3502,-11825,14105,16334,32759,-49,-8448,-8583,-15937,255,1291371268,-11442,110-2010-01-16_11.44.08.rdf,2020-11-01_10.14.28
45,-24161,-1061,-15292,24119,-8757,-9754,-12291,-19,-7424,9054,255,10135,4043154401,255,110-2010-01-16_12.53.35.rdf,2108-01-14_18.26.41
46,26093,-21139,3248,-1129,-12264,16253,29390,-20705,21911,-22290,24419,16757,2653008836,-23405,110-2010-01-16_13.07.48.rdf,2063-12-26_02.53.56
47,16094,-25076,20382,13903,-1217,-24644,20985,-8196,-28944,23958,22375,1167,1891328356,-28877,110-2010-01-16_13.24.21.rdf,2039-11-06_08.59.16
48,4,0,1,0,1,0,2,0,2,0,7,0,978013989,15000,110-2010-12-28_14.33.09 ВВ1.rdf,2010-11-27_14.33.09
49,4,0,1,0,1,0,2,0,2,0,7,0,978015683,15000,110-2010-12-28_15.01.23ВВ2.rdf,2010-11-27_15.01.23
50,4,0,1,0,1,0,5,0,0,0,7,0,1001260029,15000,110-2011-09-23_15.47.09.rdf,2011-08-23_15.47.09
51,4,0,1,0,1,0,5,0,0,0,7,0,1001513329,15000,110-2011-09-26_14.08.49.rdf,2011-08-26_14.08.49
52,4,0,1,0,1,0,5,0,0,0,7,0,1001514546,15000,110-2011-09-26_14.29.06.rdf,2011-08-26_14.29.06
53,4,0,1,0,1,0,5,0,0,0,7,0,1082520662,15000,110-2014-04-21_ЦСиб_Отказ.rdf,2014-03-21_04.11.02
